what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1335456814791
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1335456814838
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335456817773
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1335456819352
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1335456819915
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335456827165
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1335456833248
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335456834216
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335456837476
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1335456837524
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335456860293
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335456880110
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1335456880171
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335456881230
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335456892322
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335456893508
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335456896330
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335456896410
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335456903866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335456945509
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335456996686
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1335456998466
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1335457004010
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1335457029216
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335457041680
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335457041681
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.close",1335457041704
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1335457042153
